image_idx,trial,target_label,target_location,fixations_count,found
162,162,teddybear,"(33, 67)",3,True
163,163,cat,"(33, 67)",3,True
164,164,cattle,"(191, 157)",3,True
165,165,horse,"(191, 67)",2,True
166,166,kite,"(112, 203)",1,True
167,167,sheep,"(33, 157)",1,True
168,168,teddybear,"(33, 157)",4,True
169,169,cat,"(33, 67)",2,True
170,170,cattle,"(191, 67)",3,True
171,171,horse,"(33, 67)",1,True
172,172,kite,"(191, 67)",1,True
173,173,sheep,"(33, 157)",5,True
174,174,teddybear,"(112, 21)",1,True
175,175,cat,"(33, 67)",5,True
176,176,cattle,"(33, 67)",1,True
177,177,horse,"(112, 21)",2,True
178,178,kite,"(191, 157)",1,True
179,179,sheep,"(191, 67)",2,True
180,180,teddybear,"(112, 21)",1,True
181,181,cat,"(112, 21)",1,True
182,182,cattle,"(191, 67)",1,True
183,183,horse,"(112, 21)",1,True
184,184,kite,"(112, 203)",1,True
185,185,sheep,"(33, 67)",3,True
186,186,teddybear,"(112, 203)",1,True
187,187,cat,"(191, 67)",2,True
188,188,cattle,"(112, 203)",3,True
189,189,horse,"(33, 157)",2,True
190,190,kite,"(33, 67)",1,True
191,191,sheep,"(112, 21)",4,True
192,192,teddybear,"(33, 157)",1,True
193,193,cat,"(112, 21)",1,True
194,194,cattle,"(112, 21)",1,True
195,195,horse,"(112, 203)",2,True
196,196,kite,"(191, 157)",3,True
197,197,sheep,"(33, 157)",1,True
198,198,teddybear,"(33, 67)",2,True
199,199,cat,"(191, 67)",2,True
200,200,cattle,"(112, 203)",1,True
201,201,horse,"(112, 21)",1,True
202,202,kite,"(33, 67)",2,True
203,203,sheep,"(33, 67)",1,True
204,204,teddybear,"(191, 157)",2,True
205,205,cat,"(112, 21)",1,True
206,206,cattle,"(33, 67)",4,True
207,207,horse,"(112, 203)",3,True
208,208,kite,"(112, 203)",1,True
209,209,sheep,"(33, 157)",5,True
210,210,teddybear,"(191, 157)",2,True
211,211,cat,"(191, 157)",2,True
212,212,cattle,"(191, 157)",3,True
213,213,horse,"(112, 203)",1,True
214,214,kite,"(191, 157)",1,True
215,215,sheep,"(33, 67)",2,True
216,216,teddybear,"(112, 203)",1,True
217,217,cat,"(191, 67)",1,True
218,218,cattle,"(191, 157)",1,True
219,219,horse,"(112, 203)",2,True
220,220,kite,"(112, 203)",3,True
221,221,sheep,"(33, 157)",1,True
222,222,teddybear,"(112, 21)",1,True
223,223,cat,"(112, 203)",1,True
224,224,cattle,"(112, 203)",2,True
225,225,horse,"(112, 203)",3,True
226,226,kite,"(112, 21)",2,True
227,227,sheep,"(112, 21)",3,True
228,228,teddybear,"(191, 67)",1,True
229,229,cat,"(33, 67)",1,True
230,230,cattle,"(112, 21)",6,True
231,231,horse,"(112, 21)",1,True
232,232,kite,"(33, 67)",2,True
233,233,sheep,"(191, 67)",3,True
234,234,teddybear,"(191, 157)",1,True
235,235,cat,"(33, 157)",1,True
236,236,cattle,"(33, 67)",4,True
237,237,horse,"(191, 67)",2,True
238,238,kite,"(33, 67)",1,True
239,239,sheep,"(112, 21)",5,True
240,240,teddybear,"(191, 157)",2,True
